Week,Week2,22-ach,22-error,22-achcr,22-errorcr,10-ach,10-error,10-achcr,10-errorcr,14-ach,14-error,14-achcr,14-errorcr,15-ach,15-error,15-achcr,15-errorcr,16-ach,16-error,16-achcr,16-errorcr,18-ach,18-error,18-achcr,18-errorcr,19-ach,19-error,19-achcr,19-errorcr,20-ach,20-error,20-achcr,20-errorcr,33-ach,33-error,33-achcr,33-errorcr,34-ach,34-error,34-achcr,34-errorcr,39-ach,39-error,39-achcr,39-errorcr,40-ach,40-error,40-achcr,40-errorcr,41-ach,41-error,41-achcr,41-errorcr,42-ach,42-error,42-achcr,42-errorcr,43-ach,43-error,43-achcr,43-errorcr,44-ach,44-error,44-achcr,44-errorcr,45-ach,45-error,45-achcr,45-errorcr,46-ach,46-error,46-achcr,46-errorcr,47-ach,47-error,47-achcr,47-errorcr
Baseline,D.F.C,1.92451,0.933574461,0,0,0.40259,0.606283,0,0,2.42284,0.925937,0,0,1.21848,0.958691,0,0,1.10565,0.704552,0,0,1.01361,0.929239,0,0,0.10891,0.825257,0,0,0.68694,0.885138,0,0,0.33653,0.622278,0,0,0.29086,0.993173,0,0,0.23448,0.946325,0,0,0.56824,0.99101,0,0,2.327491,0.975657,0,0,0.273315,0.879067,0,0,0.286697,0.976361,0,0,0.230359,0.962483,0,0,0.325614,0.943185,0,0,0.234145,0.932303,0,0,0.359344,0.979741,0,0
Week-2,Dec-22-23,1.83176,0.931292116,2.02377,0.928508094,0,0,0,0,1.74889,0.932541,0,0,2.5375,0.967596,4.3121,0.960193,1.28025,0.895526,2.81598,0.897626,1.99976,0.968717,3.64125,0.983837,0,0,0,0,2.26862,0.988873,0,0,1.69504,0.936421,0,0,0,0,0,0,0.32781,0.993279,2.41951,0.990263,0.42796,0.995154,1.59924,0.970545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week-4,Jan-12-13,4.43368,0.987613579,5.22884,0.970567738,1.98251,0.884929,3.74893,0.980531,2.51679,0.917052,0,0,1.86825,0.993458,4.05475,0.990489,0.42232,0.935203,1.32389,0.86172,2.20806,0.989972,0,0,4.51679,0.972077,8.93166,0.987518,2.14247,0.989055,3.54146,0.98744,8.5395,0.957221,0,0,2.12844,0.989681,6.20327,0.981158,0.34545,0.975408,2.69482,0.995274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week-6,Jan-26-27,4.97733,0.970222835,5.41853,0.955401052,2.49579,0.994751,0,0,2.38165,0.919276,5.55637,0.942979,2.43957,0.979835,5.35659,0.954349,1.26429,0.927924,1.92892,0.90994,3.04641,0.989593,4.97,0.992688,3.25741,0.979418,7.64981,0.989467,3.35823,0.975908,0,0,3.48224,0.91261,5.67925,0.969061,2.61569,0.992853,3.79482,0.657423,0.38553,0.990336,2.60315,0.996876,0.54739,0.960263,0.99042,0.988571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week-8,Feb-9-10,4.936365684,0.980738471,6.407541687,0.980269906,2.016911,0.856514,4.299079,0.985716,2.981183,0.96358,6.709404,0.96263,1.76137,0.926136,6.248562,0.992837,1.758503,0.935894,3.820795,0.947567,2.626043,0.981867,4.160417,0.994333,3.695976,0.977897,7.124634,0.974815,3.007462,0.993005,4.355959,0.99311,3.268791,0.941148,8.578537,0.981015,2.631715,0.992276,6.299339,0.980982,0.4332,0.9739,2.603301,0.995744,0.518673,0.943416,1.412681,0.923228,0,0,4.504425,0.954411,0,0,3.218128,0.861942,0,0,2.550891,0.984454,0,0,2.965333,0.933809,0,0,3.117866,0.967496,0,0,4.605373,0.951738,0,0,3.422367,0.984454
Week-10,Feb-23-24,4.571803059,0.987678293,5.527366847,0.972591141,1.784456,0.847315,4.592264,0.989438,3.066939,0.918181,6.05219,0.877518,2.336433,0.993496,6.198566,0.995189,2.030872,0.944441,3.269154,0.937752,2.330559,0.984186,4.275838,0.994486,3.902873,0.958424,5.091134,0.955096,2.580933,0.993968,4.752611,0.995736,2.199479,0.958878,0,0,2.507788,0.985222,6.050419,0.994312,0.325886,0.98437,2.3692,0.994202,0.38753,0.983448,1.078586,0.92651,0.956133,0.983977,4.739066,0.989262,0.309396,0.986291,1.969802,0.97334,0.234346,0.984791,2.291448,0.962987,0.368111,0.818001,1.956473,0.929835,0.373385,0.97263,2.64324,0.857482,0.248136,0.954819,3.429328,0.95599,1.01581,0.943403,3.679748,0.985535
Week-12,Mar-9-10,1.826744836,0.865903818,0,0,1.965651,0.980034,3.793406,0.995365,2.838151,0.968461,8.48664,0.935029,1.724539,0.95218,6.235103,0.996206,1.77967,0.9091,3.386908,0.927258,1.819836,0.98237,3.840127,0.993383,1.602586,0.844251,0,0,2.107601,0.974901,4.353031,0.994017,2.943528,0.889508,4.980222,0.947717,2.083037,0.982377,6.226142,0.995617,4.009097,0.993743,5.806688,0.992813,0.742174,0.963374,2.751428,0.970513,0.89793,0.991805,3.432497,0.982736,0,0,2.194216,0.989787,0.283613,0.989252,2.475261,0.957841,0.275803,0.984492,1.983459,0.973957,0,0,2.594787,0.987378,0.300136,0.985447,1.725498,0.967695,0,0,2.750446,0.977422
Week-14,Mar-23-24,5.286876042,0.992799635,5.93762219,0.982720188,2.212421,0.993767,4.080204,0.99557,3.355812,0.916742,0,0,2.534754,0.992307,5.93738,0.988084,1.565997,0.787994,3.177987,0.928018,2.170149,0.993457,4.27008,0.993663,0,0,0,0,1.582307,0.852938,3.944871,0.992837,2.961117,0.93164,4.867219,0.94543,1.673371,0.988964,6.045408,0.984414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Week-16,Apr-6-7,3.210147966,0.946044932,0,0,1.995291,0.992441,3.928349,0.99332,2.04307,0.919365,5.470988,0.967632,2.006534,0.990263,6.161422,0.993608,0.617623,0.685219,2.946924,0.95232,1.942936,0.990398,3.975683,0.994515,0,0,0,0,1.983985,0.987596,3.929207,0.990796,2.397338,0.983323,3.898461,0.970448,1.679684,0.970729,5.4344,0.992626,0.346435,0.952307,2.503103,0.991699,0.374344,0.784033,1.801819,0.953654,0,0,6.524508,0.993975,0.333908,0.936735,2.093498,0.978808,0.267858,0.950713,2.089213,0.92483,0.210211,0.984238,1.086331,0.895863,0.400225,0.928171,2.429957,0.972544,0,0,0,0,0.201514,0.86198,2.772661,0.976284
Week-18,Apr-20-21,2.902711147,0.93028231,4.3569044,0.944467746,2.013588,0.989316,4.445003,0.994981,2.392246,0.941211,4.775406,0.95847,2.134199,0.97691,6.134629,0.993817,0,0,0,0,1.960292,0.985348,4.292437,0.994669,0,0,0,0,3.111719,0.991178,5.278716,0.989421,1.932208,0.949049,3.912843,0.965745,3.959214,0.709591,5.084546,0.982197,0.178038,0.817504,2.725089,0.989737,0.889187,0.913928,2.196745,0.960361,0.833051,0.831623,4.084975,0.990039,0.263926,0.98505,2.004636,0.976809,0.225065,0.901881,2.568159,0.967065,0.166882,0.93882,2.036213,0.97576,0.375339,0.857356,2.187394,0.979972,0.099672,0.81264,2.172049,0.973217,0.167727,0.839814,2.180991,0.951815
Week-20,May-4-5,3.148568736,0.952850347,5.27345123,0.968812661,2.142611,0.990637,2.551383,0.994771,2.522818,0.970078,6.043021,0.971121,2.105548,0.979872,5.96005,0.994799,2.509051,0.922617,3.347556,0.946752,2.2083,0.988254,4.169124,0.991803,0,0,0,0,2.383966,0.98233,3.861876,0.989851,2.210486,0.849068,5.388502,0.990046,2.463244,0.981429,5.433593,0.990417,0,0,2.425837,0.993633,0,0,2.114428,0.888034,0,0,0,0,0,0,3.719065,0.953227,0,0,2.751569,0.972383,0,0,1.056102,0.96307,0,0,2.996841,0.966393,0,0,2.611401,0.982517,0,0,2.374002,0.93566
Week-21,May-11-12,2.040862319,0.898129885,2.841982391,0.855804636,2.344017,0.991833,2.434789,0.992053,1.901198,0.907135,5.252175,0.897446,1.743157,0.966058,5.903787,0.992169,2.448498,0.915684,4.120134,0.952638,2.191743,0.991283,3.876882,0.988455,0,0,0,0,1.793906,0.916597,3.430323,0.97317,2.009834,0.960663,5.14336,0.94935,1.530413,0.962698,6.616394,0.976728,0.252225,0.961539,2.362845,0.994948,0.719472,0.928503,1.855832,0.976482,0,0,3.248289,0.996316,0.266156,0.989682,2.586521,0.823587,0.188404,0.909608,2.678491,0.967932,0.174544,0.951574,1.365836,0.902802,0.455686,0.876527,2.195779,0.958576,0.142294,0.899071,2.080657,0.950657,0.209443,0.848448,3.96993,0.98837
Week-22,May-18-19,3.330930273,0.93418065,4.153382509,0.920380309,2.29664566,0.9679796,6.00380057,0.96302906,2.21750704,0.9643378,5.36736922,0.94160711,1.8511009,0.952032,5.20538366,0.99448053,1.81799466,0.8330993,2.27022507,0.86229154,2.17366295,0.9795662,4.5959292,0.98462212,0,0,0,0,2.32698447,0.9670647,4.4180475,0.98700545,1.94592507,0.9604488,4.52991409,0.95704948,1.76201724,0.9094967,6.27174289,0.99268857,0.40780391,0.9244424,2.45980745,0.99353112,1.46634634,0.937433,1.85462444,0.90598733,1.05137122,0.8149717,3.55342192,0.99295123,0.71321244,0.9363721,2.3694623,0.97411278,0.2858846,0.8792988,2.23381263,0.89986254,0.2134239,0.8373634,0,0,2.2560623,0.9797927,2.43027904,0.96175185,0.16425681,0.8506084,0.96745205,0.81679135,2.04558299,0.9825266,1.51650962,0.93706811
