ID,ACH Exponetial Fit,R Sqaure Exponetial Fit,ACH Linear Fit,R Square Linear Fit,Date,Diff ACH,Id
10,2.764670601,0.996684775,2.495794348,0.994751143,1/26/2023,0.268876253,A1
10,2.320985711,0.974542782,1.784456244,0.847314547,2/23/2023,0.536529467,A1
10,2.679308867,0.988947923,1.965650804,0.980034246,3/9/2023,0.713658063,A1
10,2.553245521,0.996568844,2.212421032,0.993766719,3/23/2023,0.340824489,A1
10,2.367220319,0.997010852,1.99529119,0.99244079,4/6/2023,0.371929129,A1
10,4.282294035,0.998439856,3.92834858,0.993320285,4/7/2023,0.353945455,A1
10,2.386737547,0.995647807,2.01358792,0.989315651,4/20/2023,0.373149627,A1
10,2.785554162,0.995256091,2.344016537,0.991832796,5/11/2023,0.441537625,A1
10,2.461128471,0.996904679,2.142610862,0.990636513,5/4/2023,0.318517609,A1
14,2.394366808,0.924558325,1.748890523,0.932541465,12/22/2022,0.645476285,A2
14,3.546677633,0.974083582,2.838150683,0.968461425,3/9/2023,0.70852695,A2
14,5.328014004,0.902257655,5.470988286,0.96763198,4/7/2023,0.142974281,A2
15,1.958240925,0.997805596,1.868248913,0.993458476,1/12/2023,0.089992012,A3
15,2.829060716,0.997605206,2.439568066,0.979834772,1/26/2023,0.389492649,A3
15,0.209155384,0.984430777,0.223268085,0.979736286,12/11/2022,0.014112701,A3
15,1.343130927,0.969238123,1.218475113,0.958690732,12/18/2022,0.124655813,A3
15,2.777844402,0.981601376,2.537497913,0.96759608,12/22/2022,0.240346488,A3
15,2.304513053,0.996562247,2.336432962,0.993495823,2/23/2023,0.03191991,A3
15,2.331349145,0.992381497,1.761370092,0.926135967,2/9/2023,0.569979053,A3
15,2.483779646,0.994425556,1.724538753,0.952179751,3/9/2023,0.759240893,A3
15,2.668073698,0.998170805,2.534753668,0.992307359,3/23/2023,0.13332003,A3
15,2.156161951,0.997978321,2.00653424,0.99026265,4/6/2023,0.14962771,A3
15,5.671728254,0.990261019,6.161422098,0.993607668,4/7/2023,0.489693844,A3
15,2.633370744,0.991487707,2.134198695,0.976909643,4/20/2023,0.499172049,A3
15,2.297991297,0.997320294,1.743156569,0.966058054,5/11/2023,0.554834728,A3
15,2.603028728,0.995449048,1.851100895,0.952032033,5/18/2023,0.751927833,A3
16,1.372493427,0.908557427,0.42232081,0.93520317,1/12/2023,0.950172617,A4
16,2.131979531,0.902577346,1.280254777,0.895526028,12/22/2022,0.851724755,A4
16,2.538807592,0.908092313,1.565996907,0.787994436,3/23/2023,0.972810685,A4
18,2.353614084,0.98487232,2.208055257,0.98997228,1/12/2023,0.145558827,A5
18,1.354653369,0.958279458,1.013606753,0.929239016,12/11/2022,0.341046616,A5
18,2.729590839,0.988301402,1.999759503,0.968716625,12/22/2022,0.729831336,A5
18,2.668887141,0.992057198,2.330558694,0.984185596,2/23/2023,0.338328447,A5
18,3.026923288,0.974782839,2.626042967,0.981867258,2/9/2023,0.400880321,A5
18,2.454465927,0.982444408,1.819836058,0.982370011,3/9/2023,0.634629869,A5
18,2.724761092,0.982481959,2.170148986,0.993456656,3/23/2023,0.554612106,A5
18,2.436878541,0.989026655,1.942935703,0.990397636,4/6/2023,0.493942838,A5
18,4.529276256,0.995545934,3.975683132,0.994515187,4/7/2023,0.553593123,A5
18,2.642929022,0.985324069,1.960292195,0.985348359,4/20/2023,0.682636827,A5
18,2.962659586,0.973576714,2.191743347,0.991283314,5/11/2023,0.770916238,A5
18,2.713478286,0.997058887,2.17366295,0.97956623,5/18/2023,0.539815337,A5
18,3.009193677,0.97632004,2.208300437,0.988253522,5/4/2023,0.80089324,A5
19,4.908617998,0.973038719,4.516793105,0.972077499,1/12/2023,0.391824893,A6
19,3.850621596,0.991530765,3.257407333,0.979418428,1/26/2023,0.593214263,A6
19,4.877084486,0.962196302,3.902873027,0.958423606,2/23/2023,0.974211458,A6
19,4.449158099,0.99253783,3.695975926,0.977896594,2/9/2023,0.753182173,A6
20,2.474476073,0.99726288,2.142469722,0.989055248,1/12/2023,0.332006351,A7
20,4.351294332,0.995671524,3.358232708,0.975908061,1/26/2023,0.993061624,A7
20,0.814649326,0.908573342,0.686938825,0.885138187,12/11/2022,0.127710501,A7
20,2.476929179,0.995302349,2.268615888,0.988873206,12/22/2022,0.208313291,A7
20,3.034141361,0.996473928,2.580932772,0.993968283,2/23/2023,0.453208589,A7
20,3.354541796,0.998555656,3.007461939,0.993005377,2/9/2023,0.347079857,A7
20,2.796796647,0.994547584,2.107600884,0.974901385,3/9/2023,0.689195763,A7
20,2.317903064,0.968800616,1.582307084,0.852937751,3/23/2023,0.73559598,A7
20,2.49498249,0.993914444,1.98398497,0.98759566,4/6/2023,0.51099752,A7
20,4.506520478,0.997448169,3.929207093,0.990795633,4/7/2023,0.577313385,A7
20,3.49809753,0.997717437,3.111719208,0.991177692,4/27/2023,0.386378321,A7
20,3.097965664,0.995604755,2.326984472,0.967064695,5/18/2023,0.770981192,A7
20,2.914737165,0.996543222,2.383966399,0.982329855,5/4/2023,0.530770766,A7
22,1.993094884,0.95074192,1.924507715,0.933574461,11/28/2023,0.068587169,A8
22,4.407196555,0.989374424,4.433684125,0.987613579,1/12/2023,0.02648757,A8
22,4.445403388,0.968196039,4.977326355,0.970222835,1/26/2023,0.531922967,A8
22,1.893716695,0.947684608,1.831756647,0.931292116,12/22/2022,0.061960048,A8
22,4.789472438,0.99140387,4.57180306,0.987678293,2/23/2023,0.217669378,A8
22,4.652144955,0.975044958,4.936365682,0.980738471,2/9/2023,0.284220727,A8
22,4.998188134,0.987476129,5.28687604,0.992799635,3/23/2023,0.288687906,A8
33,3.299810565,0.849366538,3.482238312,0.912610149,1/26/2023,0.182427747,A9
33,2.402813739,0.943656461,1.69503907,0.936421403,12/22/2022,0.707774669,A9
34,2.612891867,0.996545693,2.128439593,0.989680941,1/12/2023,0.484452275,A10
34,3.115466001,0.997253395,2.615687261,0.992852834,1/26/2023,0.49977874,A10
34,0.280958755,0.99409051,0.290826944,0.993173275,12/18/2022,0.009868188,A10
34,2.990470774,0.995079473,2.631715085,0.992275854,2/9/2023,0.358755688,A10
34,2.653731967,0.997436396,2.083036727,0.982376794,3/9/2023,0.570695239,A10
34,2.053897326,0.993716188,1.673371219,0.988963765,3/23/2023,0.380526106,A10
34,2.295990681,0.993972733,1.67968438,0.97072926,4/6/2023,0.616306301,A10
34,6.009944996,0.997758311,5.434400224,0.992626248,4/7/2023,0.575544772,A10
34,2.121204153,0.98253183,1.530412644,0.962698088,5/11/2023,0.590791508,A10
39,0.391357619,0.964647518,0.345454851,0.975407594,1/12/2023,0.045902768,B1
39,0.502373411,0.971427727,0.385530413,0.990335863,1/26/2023,0.116842998,B1
39,0.311120161,0.997049983,0.234483596,0.946325483,12/5/2022,0.076636565,B1
39,0.299700452,0.995997439,0.327813717,0.993279395,12/22/2022,0.028113265,B1
39,0.276948686,0.994900348,0.325885982,0.984370325,2/23/2023,0.048937296,B1
39,0.447445944,0.97492359,0.433179564,0.973929213,2/9/2023,0.014266381,B1
39,4.255736059,0.998209706,4.009097153,0.993742593,3/9/2023,0.246638906,B1
39,0.747110263,0.972519224,0.346434576,0.952307104,4/6/2023,0.400675688,B1
39,3.217691126,0.982602411,2.503102926,0.991698786,4/7/2023,0.7145882,B1
39,0.444113822,0.927162718,0.178037663,0.817504199,4/20/2023,0.266076158,B1
39,0.367209082,0.984546552,0.252224785,0.961538746,5/11/2023,0.114984297,B1
39,0.727604675,0.976766516,0.407803912,0.924442414,5/18/2023,0.319800763,B1
40,0.767726342,0.993286967,0.547392223,0.960262649,1/26/2023,0.220334119,B2
40,0.68465301,0.995103148,0.568244436,0.991009749,12/5/2022,0.116408574,B2
40,0.433197097,0.996267752,0.427964999,0.995154453,12/22/2022,0.005232098,B2
40,0.394105319,0.982804621,0.387529509,0.983447734,2/23/2023,0.006575811,B2
40,0.605396131,0.953216757,0.51867257,0.943416194,2/9/2023,0.086723561,B2
40,0.899065317,0.962916447,0.742173805,0.963373639,3/9/2023,0.156891512,B2
40,0.720532916,0.938940768,0.374343737,0.784033449,4/6/2023,0.346189179,B2
40,1.102426059,0.84858587,0.889186745,0.913927572,4/20/2023,0.213239314,B2
40,1.591399,0.573250673,0.71947191,0.928502758,5/11/2023,0.87192709,B2
40,1.416171661,0.924671122,1.466346335,0.937433034,5/18/2023,0.050174674,B2
41,2.549384344,0.953917387,2.327490826,0.975657258,2/21/2023,0.221893519,B3
41,1.04494564,0.989350751,0.956132596,0.983977386,2/23/2023,0.088813044,B3
41,2.762440684,0.887870513,3.082405709,0.927686404,2/3/2023,0.319965025,B3
41,0.986096267,0.989326276,0.897930135,0.991805495,3/9/2023,0.088166132,B3
41,7.185121854,0.974542142,6.524507689,0.9939751,4/7/2023,0.660614165,B3
41,1.666324025,0.941193083,0.889204556,0.79121532,5/18/2023,0.777119469,B3
42,0.342939534,0.943488967,0.309395636,0.98629081,2/23/2023,0.033543898,B4
42,0.502248648,0.783164154,0.333907519,0.936734565,4/6/2023,0.168341129,B4
42,2.413288806,0.911483088,2.093498341,0.978807974,4/7/2023,0.319790465,B4
42,0.311478912,0.965181858,0.263926002,0.985050267,4/20/2023,0.04755291,B4
42,0.275885998,0.973198711,0.266156384,0.989681588,5/11/2023,0.009729614,B4
42,0.845923711,0.897990912,0.713212438,0.936372079,5/18/2023,0.132711273,B4
43,0.209604749,0.980887327,0.234345522,0.984791111,2/23/2023,0.024740773,B5
43,0.276019282,0.99195116,0.283612696,0.989251765,3/9/2023,0.007593414,B5
43,0.326904334,0.817825684,0.267857636,0.950713472,4/6/2023,0.059046698,B5
43,0.446677813,0.886953759,0.225064909,0.901880902,4/20/2023,0.221612904,B5
43,0.240210664,0.485766438,0.188404245,0.909607702,5/11/2023,0.051806419,B5
44,0.286037844,0.972011189,0.275802737,0.984492401,3/9/2023,0.010235107,B6
44,0.221763083,0.988716474,0.210211079,0.984238374,4/6/2023,0.011552004,B6
44,0.224273966,0.965742434,0.166881835,0.938820208,4/20/2023,0.057392131,B6
44,0.212372382,0.983812096,0.174544275,0.951574445,5/11/2023,0.037828107,B6
45,0.346368193,0.96258803,0.373385434,0.97263031,2/23/2023,0.027017241,B7
45,0.274073332,0.864663064,0.325613681,0.943185231,2/3/2023,0.051540349,B7
45,0.986132093,0.884383371,0.400224958,0.928171449,4/6/2023,0.585907135,B7
45,2.808354347,0.971423516,2.429956739,0.972544273,4/7/2023,0.378397608,B7
45,1.04581539,0.943361633,0.375339436,0.857356098,4/20/2023,0.670475954,B7
45,1.391763988,0.912119424,0.455685531,0.876526609,5/11/2023,0.936078458,B7
46,0.294530238,0.825024234,0.248136418,0.954819311,2/23/2023,0.04639382,B8
46,0.320191278,0.925157264,0.234145146,0.932302524,2/3/2023,0.086046132,B8
46,0.313502809,0.990200725,0.300135679,0.98544675,3/9/2023,0.01336713,B8
47,0.726275375,0.878620059,1.015810021,0.943402643,2/23/2023,0.289534646,B9
47,0.360662013,0.980839751,0.359343989,0.979741395,2/3/2023,0.001318024,B9
47,3.306444447,0.980391533,2.772661076,0.976284096,4/7/2023,0.533783371,B9
47,2.134321747,0.986815574,2.045582994,0.982526644,5/18/2023,0.088738753,B9
10,2.209095789,0.948674431,1.750512922,0.941137542,12/18/2022,0.458582867,A1
14,3.322593229,0.931936068,2.477816484,0.97297524,5/18/2023,0.844776745,A2
15,3.054997787,0.98647927,2.440476865,0.987573085,5/4/2023,0.614520922,A3
16,2.934726116,0.970472926,2.21370755,0.962845945,1/26/2023,0.721018566,A4
16,3.700181667,0.95861988,2.874459898,0.950177231,2/23/2023,0.82572177,A4
16,3.359880513,0.970380754,2.714223098,0.961023454,2/9/2023,0.645657415,A4
16,3.078704511,0.96291447,2.298885738,0.954421332,4/6/2023,0.779818773,A4
18,4.146866542,0.977961846,3.185095859,0.990053527,1/26/2023,0.961770683,A5
19,3.857327346,0.992600973,3.433596511,0.982899574,3/9/2023,0.423730834,A6
20,2.945486284,0.98756521,2.433167001,0.989424693,5/11/2023,0.512319283,A7
22,2.93057494,0.949150078,1.995295391,0.885102398,3/9/2023,0.935279548,A8
22,3.812402535,0.988685974,3.700332216,0.985299725,5/11/2023,0.112070318,A8
22,4.608148224,0.990359,4.502581848,0.989857815,5/4/2023,0.105566376,A8
33,4.796526991,0.966572559,3.880621474,0.947025382,3/9/2023,0.915905517,A9
33,3.616105945,0.955304467,2.963143292,0.980143207,4/6/2023,0.652962654,A9
33,3.480346929,0.965827812,2.588736747,0.98881469,5/18/2023,0.891610182,A9
33,5.953937595,0.987125307,5.192251702,0.992416838,5/4/2023,0.761685893,A9
34,3.685202171,0.940702307,2.724958077,0.975059248,5/4/2023,0.960244094,A10
44,2.120065983,0.91930029,1.824761799,0.927559568,5/18/2023,0.295304183,B6
46,1.957067728,0.970761109,1.99417139,0.971306128,4/7/2023,0.037103662,B8
47,1.597685994,0.828635995,1.121889022,0.915585767,4/6/2023,0.475796972,B9
47,0.871883335,0.911183405,0.790810084,0.902856201,4/20/2023,0.081073251,B9
14,3.750621039,0.8946957,2.422837128,0.925937283,11/28/2023,1.327783912,A2
14,4.923410952,0.930872199,3.541809153,0.969897087,2/9/2023,1.381601799,A2
16,3.592809893,0.970603005,2.388332163,0.943990877,3/9/2023,1.20447773,A4
16,4.47710668,0.98344987,3.447548486,0.965130124,4/7/2023,1.029558194,A4
16,4.204846255,0.984160409,2.749200798,0.936291878,5/11/2023,1.455645457,A4
16,4.523657745,0.974258088,3.160820691,0.945606769,5/4/2023,1.362837054,A4
19,0.256992753,0.682936126,0.240375216,0.662211736,12/11/2022,0.016617537,A6
22,4.814874706,0.990588482,3.641830381,0.965529675,4/6/2023,1.173044325,A8
22,5.049953234,0.988315944,4.01380155,0.963728197,4/27/2023,1.036151684,A8
22,5.122326948,0.995933261,3.788095008,0.959170421,5/18/2023,1.33423194,A8
33,1.428889385,0.897905625,1.040466863,0.890556319,12/18/2022,0.388422522,A9
33,4.103370945,0.970489467,2.869621366,0.977833674,4/20/2023,1.233749579,A9
33,3.843951551,0.963573725,2.514685597,0.980810379,5/11/2023,1.329265953,A9
34,3.90111671,0.980509071,2.702140264,0.987486015,2/23/2023,1.198976446,A10
42,1.060224239,0.644151431,0.959851909,0.659345447,5/4/2023,0.10037233,B4
43,1.544698511,0.769889915,0.770735745,0.694307114,5/18/2023,0.773962766,B5
44,0.3172892,0.826275707,0.368111393,0.818000654,2/23/2023,0.050822193,B6
44,2.7358995,0.783686001,1.894459926,0.886040091,4/7/2023,0.841439573,B6
46,0.42978396,0.580820337,0.40322497,0.68907466,5/11/2023,0.02655899,B8
46,0.615977325,0.890608135,0.629265985,0.875042722,5/18/2023,0.013288659,B8
47,1.118808922,0.551356416,0.461091019,0.7893387,5/11/2023,0.657717903,B9
