Timestamp,PM1,PM25,PM10,sample_rh,sample_temp
2023-04-03T07:30:57,1.087,2.042,26.469,19.94,21.78
2023-04-03T07:31:57,1.191,3.016,36.164,19.86,21.8
2023-04-03T07:32:57,1.043,2.59,61.685,19.76,21.82
2023-04-03T07:33:57,1.119,2.571,76.378,19.73,21.84
2023-04-03T07:34:57,1.16,2.715,108.002,19.78,21.87
2023-04-03T07:35:57,1.313,2.939,53.388,19.87,21.89
2023-04-03T07:41:57,0.993,3.096,46.335,20.12,22.01
2023-04-03T07:42:57,1.428,3.211,52.236,19.97,22.04
2023-04-03T07:43:57,1.475,3.236,50.852,19.89,22.05
2023-04-03T07:44:57,0.701,2.233,35.866,19.82,22.08
2023-04-03T07:45:57,0.699,2.205,47.374,19.8,22.1
2023-04-03T07:46:57,1.228,2.971,75.807,19.75,22.13
2023-04-03T07:47:57,0.936,3.945,153.64,19.71,22.14
2023-04-03T07:48:57,1.025,3.672,87.62,19.71,22.17
2023-04-03T07:49:57,1.196,5.14,146.083,19.89,22.19
2023-04-03T07:50:57,1.405,7.077,178.328,20.05,22.2
2023-04-03T07:51:57,1.526,9.107,302.353,20.46,22.23
2023-04-03T07:52:57,1.579,9.297,176.629,20.6,22.26
2023-04-03T07:53:57,1.432,10.792,196.862,20.67,22.29
2023-04-03T07:54:57,2.256,13.872,284.229,20.7,22.31
2023-04-03T07:55:57,1.82,12.815,347.514,20.87,22.34
2023-04-03T07:56:57,1.791,13.393,343.837,21.17,22.38
2023-04-03T07:57:57,2.122,14.805,486.156,21.23,22.4
2023-04-03T07:58:57,2.641,13.257,398.711,21.36,22.43
2023-04-03T07:59:57,2.184,14.936,348.876,21.68,22.46
2023-04-03T08:00:57,2.467,18.598,754.924,22.07,22.49
2023-04-03T08:01:57,2.376,20.082,510.114,22.33,22.53
2023-04-03T08:02:57,2.438,18.78,644.959,22.58,22.55
2023-04-03T08:03:57,3.324,20.099,479.548,22.54,22.58
2023-04-03T08:04:57,2.291,16.912,434.085,22.46,22.61
2023-04-03T08:05:57,2.714,16.032,352.24,22.81,22.65
2023-04-03T08:06:57,1.802,17.076,551.416,23.36,22.68
2023-04-03T08:07:57,1.875,16.925,371.762,23.53,22.72
2023-04-03T08:08:57,1.876,15.079,491.934,23.92,22.76
2023-04-03T08:09:57,2.012,14.82,427.414,23.8,22.79
2023-04-03T08:10:57,1.845,16.276,499.316,24.21,22.83
2023-04-03T08:11:57,2.093,15.124,394.479,24.32,22.86
2023-04-03T08:12:57,2.367,16.747,422.652,24.88,22.9
2023-04-03T08:13:57,3.115,17.427,295.841,25.15,22.95
2023-04-03T08:14:57,1.93,14.84,323.732,24.98,22.98
2023-04-03T08:15:57,1.793,13.824,302.084,25.17,23.01
2023-04-03T08:16:57,2.017,15.577,259.73,25.29,23.06
2023-04-03T08:17:57,1.911,15.488,387.824,25.15,23.08
2023-04-03T08:18:57,1.863,14.252,333.061,24.68,23.13
2023-04-03T08:19:57,1.503,12.139,245.665,24.79,23.15
2023-04-03T08:20:57,1.607,13.203,212.482,24.71,23.19
2023-04-03T08:21:57,1.564,11.763,186.396,24.76,23.23
2023-04-03T08:22:57,2.305,12.528,189.358,25.28,23.26
2023-04-03T08:23:57,1.09,11.954,196.092,25.04,23.3
2023-04-03T08:24:57,1.53,10.271,128.288,25,23.33
2023-04-03T08:25:57,1.779,11.057,194.208,25.13,23.37
2023-04-03T08:26:57,1.59,10.544,252.543,25.09,23.41
2023-04-03T08:27:57,1.193,11.285,253.24,25.26,23.45
2023-04-03T08:28:57,1.432,10.271,153.402,25.33,23.47
2023-04-03T08:29:57,1.549,11.419,185.673,25.5,23.5
2023-04-03T08:30:57,1.057,9.206,110.898,25.52,23.55
2023-04-03T08:31:57,1.98,12.33,230.494,25.55,23.57
2023-04-03T08:32:57,1.469,11.271,224.716,25.47,23.6
2023-04-03T08:33:57,2.371,12.344,250.982,25.55,23.64
2023-04-03T08:34:57,1.646,11.688,207.129,25.71,23.67
2023-04-03T08:35:57,1.471,11.407,151.446,25.61,23.7
2023-04-03T08:36:57,2.018,10.005,199.633,25.78,23.73
2023-04-03T08:37:57,1.442,9.842,174.669,25.74,23.77
2023-04-03T08:38:57,1.216,8.834,202.206,25.82,23.79
2023-04-03T08:39:57,1.692,9.283,159.171,25.88,23.82
2023-04-03T08:40:57,1.587,10.082,189.459,25.94,23.86
2023-04-03T08:41:57,1.132,8.101,134.075,25.89,23.89
2023-04-03T08:42:57,1.283,8.639,212.418,26.12,23.92
2023-04-03T08:43:57,1.357,8.349,176.134,26.08,23.96
2023-04-03T08:44:57,1.516,8.867,156.03,26.11,23.99
2023-04-03T08:45:57,1.516,7.38,155.035,26.46,24.02
2023-04-03T08:46:57,1.217,8.375,116.175,26.49,24.06
2023-04-03T08:47:57,0.952,9.085,83.018,26.49,24.09
2023-04-03T08:48:57,1.186,8.753,145.436,26.41,24.12
2023-04-03T08:49:57,1.1,8.144,159.65,26.36,24.15
2023-04-03T08:50:57,1.011,8.185,119.564,26.44,24.19
2023-04-03T08:51:57,1.091,7.663,134.979,26.27,24.22
2023-04-03T08:52:57,1.06,7.871,143.214,26.36,24.24
2023-04-03T08:53:57,1.832,8.984,101.267,26.55,24.28
2023-04-03T08:54:57,0.956,7.93,133.15,26.63,24.31
2023-04-03T08:55:57,1.144,7.959,89.772,26.52,24.34
2023-04-03T08:56:57,1.068,7.189,104.422,26.33,24.35
2023-04-03T08:57:57,1.109,7.405,80.988,26.5,24.39
2023-04-03T08:58:57,1.167,7.598,103.286,26.46,24.41
2023-04-03T08:59:57,0.853,6.328,110.004,26.49,24.44
2023-04-03T09:00:57,0.916,5.929,99.061,26.71,24.47
2023-04-03T09:01:57,1.182,6.353,84.633,26.55,24.51
2023-04-03T09:02:57,1.058,6.601,84.014,26.35,24.53
2023-04-03T09:03:57,0.489,5.839,122.144,26.31,24.56
2023-04-03T09:04:57,0.789,5.242,43.81,26.41,24.59
2023-04-03T09:05:57,1.221,6.708,47.36,26.45,24.61
2023-04-03T09:06:57,0.843,4.807,51.619,26.44,24.64
2023-04-03T09:07:57,1.121,5.414,78.612,26.42,24.66
2023-04-03T09:08:57,1.098,5.921,75.055,26.41,24.68
2023-04-03T09:09:57,0.701,4.736,92.304,26.45,24.71
2023-04-03T09:10:57,0.653,5.586,95.207,26.26,24.73
2023-04-03T09:11:57,0.834,5.029,123.518,25.81,24.73
2023-04-03T09:12:57,0.788,5.133,100.276,25.39,24.7
2023-04-03T09:13:57,0.931,5.013,61.342,25,24.65
2023-04-03T09:14:57,0.948,4.064,27.586,24.67,24.58
2023-04-03T09:15:57,0.659,4.266,77.327,24.35,24.51
2023-04-03T09:16:57,0.97,4.583,28.777,24.1,24.43
2023-04-03T09:17:57,0.504,3.03,29.815,23.94,24.34
2023-04-03T09:18:57,0.705,3.8,52.863,23.81,24.25
2023-04-03T09:19:57,0.855,3.32,29.2,23.69,24.16
2023-04-03T09:20:57,0.588,3.567,31.997,23.59,24.05
2023-04-03T09:21:57,0.552,3.42,26.249,23.66,23.99
2023-04-03T09:22:57,0.702,3.072,40.371,23.88,23.95
2023-04-03T09:23:57,0.824,3.287,28.382,24.13,23.91
2023-04-03T09:24:57,0.788,3.041,77.763,24.19,23.89
2023-04-03T09:25:57,0.809,3.193,25.753,24.59,23.86
2023-04-03T09:26:57,0.675,3.764,50.926,24.84,23.85
2023-04-03T09:27:57,1.175,3.688,25.073,24.94,23.84
2023-04-03T09:28:57,0.779,3.05,101.148,25.23,23.83
2023-04-03T09:29:57,0.596,2.632,41.765,25.54,23.82
2023-04-03T09:30:57,0.791,3.841,97.187,25.67,23.81
2023-04-03T09:31:57,0.983,3.615,30.645,25.87,23.82
2023-04-03T09:32:57,0.57,3.127,60.529,26.05,23.82
2023-04-03T09:33:57,0.665,2.872,59.838,26.21,23.83
2023-04-03T09:34:57,0.547,3.485,49.388,26.4,23.83
2023-04-03T09:35:57,0.67,3.712,72.855,26.59,23.85
2023-04-03T09:36:57,1.204,3.995,30.143,26.51,23.85
2023-04-03T09:37:57,0.654,3.309,71.817,26.14,23.87
2023-04-03T09:38:57,0.656,3.413,110.412,25.69,23.85
2023-04-03T09:39:57,0.85,3.697,88.376,25.24,23.82
2023-04-03T09:40:57,0.41,3.059,36.306,24.91,23.78
2023-04-03T09:41:57,1.488,4.207,57.036,24.58,23.72
2023-04-03T09:42:57,0.545,3.24,46.401,24.32,23.66
2023-04-03T09:43:57,0.538,3.209,20.635,24.18,23.6
2023-04-03T09:44:57,0.588,2.733,32.051,24.01,23.55
2023-04-03T09:45:57,0.605,2.663,51.498,24.28,23.53
2023-04-03T09:46:57,1.901,4.239,104.419,24.52,23.51
2023-04-03T09:47:57,0.864,3.905,47.507,24.88,23.51
2023-04-03T09:48:57,0.609,2.558,28.751,25.14,23.51
2023-04-03T09:49:57,0.339,2.841,84.942,25.26,23.51
2023-04-03T09:50:57,0.811,2.978,32.411,25.55,23.52
2023-04-03T09:51:57,0.73,3.588,122.048,25.74,23.53
2023-04-03T09:52:57,0.997,4.588,89.772,25.89,23.56
2023-04-03T09:53:57,0.562,3.674,56.765,25.98,23.57
2023-04-03T09:54:57,0.461,3.538,86.069,26.07,23.58
2023-04-03T09:55:57,0.656,3.494,113.526,26.22,23.61
2023-04-03T09:56:57,0.51,4.225,110.98,26.42,23.61
2023-04-03T09:57:57,0.738,3.33,91.273,26.51,23.64
2023-04-03T09:58:57,0.542,4.036,79.906,26.6,23.66
2023-04-03T09:59:57,0.717,4.159,106.557,26.75,23.7
2023-04-03T10:00:57,0.802,4.351,92.07,26.23,23.7
2023-04-03T10:01:57,0.964,5.533,62.633,25.88,23.69
2023-04-03T10:02:57,0.574,4.63,80.505,25.51,23.67
2023-04-03T10:03:57,0.747,5.992,138.391,25.23,23.63
2023-04-03T10:04:57,1.224,6.044,164.487,24.96,23.59
2023-04-03T10:05:57,0.819,5.647,156.454,24.69,23.54
2023-04-03T10:06:57,0.75,5.98,174.643,24.66,23.49
2023-04-03T10:07:57,0.862,6.069,119.287,24.58,23.45
2023-04-03T10:08:57,0.705,6.771,219.641,24.85,23.43
2023-04-03T10:09:57,0.849,6.255,147.191,25.01,23.43
2023-04-03T10:10:57,1.016,6.68,93.279,25.36,23.43
2023-04-03T10:11:57,0.618,5.826,128.713,25.47,23.43
2023-04-03T10:12:57,1.583,7.797,227.997,25.83,23.46
2023-04-03T10:13:57,0.823,8.983,199.057,26.45,23.46
2023-04-03T10:14:57,1.642,14.941,327.316,26.34,23.49
2023-04-03T10:15:57,1.497,11.809,293.993,26.26,23.51
2023-04-03T10:16:57,1.368,11.41,219.73,26.19,23.52
2023-04-03T10:17:57,2.026,11.368,354.796,26.16,23.53
2023-04-03T10:18:57,1.107,10.848,229.572,26.23,23.54
2023-04-03T10:19:57,1.291,10.444,195.545,26.16,23.56
2023-04-03T10:20:57,1.157,10.854,222.937,26.11,23.58
2023-04-03T10:21:57,1.179,9.492,193.078,26.13,23.6
2023-04-03T10:22:57,1.189,9.222,204.403,26.09,23.61
2023-04-03T10:23:57,1.393,9.333,131.102,26.06,23.63
2023-04-03T10:24:57,1.267,7.861,185.32,25.99,23.65
2023-04-03T10:25:57,1.514,8.269,173.283,25.93,23.67
2023-04-03T10:26:57,1.213,7.025,117.902,25.92,23.69
2023-04-03T10:27:57,0.988,7.593,82.342,25.87,23.72
2023-04-03T10:28:57,0.671,6.693,121.094,25.88,23.74
2023-04-03T10:29:57,0.634,7.44,155.695,25.88,23.77
2023-04-03T10:30:57,1.326,6.152,87.859,25.86,23.79
2023-04-03T10:31:57,0.842,5.581,161.56,25.87,23.81
2023-04-03T10:32:57,0.689,5.171,83.797,25.82,23.84
2023-04-03T10:33:57,0.82,4.106,75.662,25.8,23.86
2023-04-03T10:34:57,0.603,4.564,84.306,25.79,23.87
2023-04-03T10:35:57,0.826,4.827,71.222,25.76,23.89
2023-04-03T10:36:57,0.435,3.856,22.184,25.74,23.93
2023-04-03T10:37:57,0.78,4.306,82.462,25.72,23.95
2023-04-03T10:38:57,0.802,5.171,84.5,25.74,23.98
2023-04-03T10:39:57,0.714,4.714,32.031,25.72,24
2023-04-03T10:40:57,0.853,4.724,67.698,25.7,24.02
2023-04-03T10:41:57,0.435,3.795,76.542,25.69,24.04
2023-04-03T10:42:57,0.545,4.394,22.985,25.67,24.06
2023-04-03T10:43:57,0.53,3.834,40.554,25.68,24.08
2023-04-03T10:44:57,0.487,3.692,70.143,25.66,24.1
2023-04-03T10:45:57,0.422,3.284,32.764,25.65,24.12
2023-04-03T10:46:57,0.591,4.079,97.537,25.64,24.14
2023-04-03T10:47:57,0.916,4.576,38.177,25.64,24.17
2023-04-03T10:48:57,0.431,3.871,91.562,25.61,24.19
2023-04-03T10:49:57,0.517,3.631,30.795,25.65,24.2
2023-04-03T10:50:57,0.52,3.226,64.25,25.63,24.23
2023-04-03T10:51:57,0.368,2.737,20.668,25.6,24.24
2023-04-03T10:52:57,0.511,3.743,70.34,25.6,24.27
2023-04-03T10:53:57,0.525,2.936,35.648,25.57,24.28
2023-04-03T10:54:57,0.457,2.387,19.251,25.58,24.31
2023-04-03T10:55:57,0.268,2.879,16.899,25.6,24.33
2023-04-03T10:56:57,0.352,2.707,32.017,25.59,24.35
2023-04-03T10:57:57,0.54,3.194,60.38,25.59,24.36
2023-04-03T10:58:57,0.516,3.108,36.417,25.6,24.38
2023-04-03T10:59:57,0.403,3.141,24.936,25.59,24.4
2023-04-03T11:00:57,0.63,3.089,14.007,25.55,24.42
2023-04-03T11:01:57,0.404,3.004,69.977,25.5,24.45
2023-04-03T11:02:57,0.192,2.988,25.139,25.49,24.46
2023-04-03T11:03:57,0.991,8.245,229.739,25.8,24.48
2023-04-03T11:04:57,0.965,11.17,284.545,26.45,24.5
2023-04-03T11:05:57,1.57,12.985,312.723,27.13,24.52
2023-04-03T11:06:57,1.636,11.762,346.32,27.52,24.57
2023-04-03T11:07:57,1.728,15.239,558.68,29.29,24.59
2023-04-03T11:08:57,2.736,24.351,527.311,29.25,24.62
2023-04-03T11:09:57,2.053,20.334,393.639,29.01,24.65
2023-04-03T11:10:57,2.43,17.839,303.321,29.01,24.69
2023-04-03T11:11:57,2.216,17.018,385.751,28.74,24.71
2023-04-03T11:12:57,1.384,15.574,277.839,28.41,24.73
2023-04-03T11:13:57,2.033,16.149,489.042,28.27,24.76
2023-04-03T11:14:57,1.757,14.206,269.576,28.16,24.77
2023-04-03T11:15:57,1.446,13.554,255.615,28.02,24.79
2023-04-03T11:16:57,1.464,13.063,326.267,27.92,24.82
2023-04-03T11:17:57,1.383,10.872,208.842,27.83,24.83
2023-04-03T11:18:57,1.442,11.064,143.227,27.73,24.84
2023-04-03T11:19:57,0.912,9.243,123.022,27.63,24.86
2023-04-03T11:20:57,1.312,10.123,160.228,27.58,24.88
2023-04-03T11:21:57,1.272,8.994,182.457,27.51,24.9
2023-04-03T11:22:57,1.087,7.185,106.488,27.41,24.91
2023-04-03T11:23:57,1.041,8.211,189.666,27.35,24.93
2023-04-03T11:24:57,1.068,7.296,99.134,27.3,24.94
2023-04-03T11:25:57,1.257,7.072,137.275,27.22,24.95
2023-04-03T11:26:57,1.087,7.336,106.453,27.17,24.96
2023-04-03T11:27:57,0.649,6.605,76.383,27.13,24.97
2023-04-03T11:28:57,0.882,6.518,78.001,27.09,24.98
2023-04-03T11:29:57,0.96,6.283,77.697,27.03,24.99
2023-04-03T11:30:57,0.672,4.843,86.42,27.01,25
2023-04-03T11:31:57,0.82,5.292,73.543,26.98,25.01
2023-04-03T11:32:57,0.702,4.794,60.699,26.93,25.03
2023-04-03T11:33:57,0.463,4.645,52.542,26.92,25.03
2023-04-03T11:34:57,0.657,4.849,69.764,26.9,25.04
2023-04-03T11:35:57,0.565,4.197,25.664,26.87,25.05
2023-04-03T11:36:57,0.449,8.05,142.12,26.81,25.06
2023-04-03T11:37:57,1.677,12.153,219.014,26.41,25.07
2023-04-03T11:38:57,1.484,15.118,426.411,26.32,25.06
2023-04-03T11:39:57,1.467,15.391,369.971,26.06,25.03
2023-04-03T11:40:57,1.165,11.793,271.635,25.86,24.99
2023-04-03T11:41:57,1.448,10.737,204.971,25.61,24.95
2023-04-03T11:42:57,1.537,10.152,173.347,25.44,24.91
2023-04-03T11:43:57,1.091,9.525,201.933,25.44,24.84
2023-04-03T11:44:57,1.09,8.576,156.091,25.35,24.77
2023-04-03T11:45:57,1.034,8.361,93.34,25.2,24.71
2023-04-03T11:46:57,0.994,7.694,193.542,25.07,24.64
2023-04-03T11:47:57,1.117,7.477,89.947,25.02,24.54
2023-04-03T11:48:57,1.306,6.623,120.092,24.92,24.47
2023-04-03T11:49:57,1.099,7.439,121.318,24.97,24.38
2023-04-03T11:50:57,1.227,10.291,186.465,25.15,24.29
2023-04-03T11:51:57,1.718,12.724,339.681,25.22,24.21
2023-04-03T11:52:57,2.178,13.538,307.774,25.33,24.15
2023-04-03T11:53:57,1.223,11.736,284.297,25.45,24.11
2023-04-03T11:54:57,1.16,11.568,220.524,25.5,24.08
2023-04-03T11:55:57,1.177,10.528,175.2,25.56,24.05
2023-04-03T11:56:57,1.248,8.377,121.449,25.64,24.03
2023-04-03T11:57:57,1.034,8.8,155.759,25.73,24.01
2023-04-03T11:58:57,0.931,6.684,117.556,25.79,23.99
2023-04-03T11:59:57,0.942,5.92,85.984,25.74,23.97
2023-04-03T12:00:57,1.318,6.903,59.281,25.38,23.95
2023-04-03T12:01:57,1.201,5.522,79.029,25.1,23.91
2023-04-03T12:02:58,1.426,5.233,38.729,24.84,23.86
2023-04-03T12:03:58,0.648,4.677,34.492,24.53,23.81
2023-04-03T12:04:58,0.632,4.627,47.744,24.27,23.74
2023-04-03T12:05:58,0.735,4.419,23.547,24.06,23.67
2023-04-03T12:06:58,0.809,3.597,70.587,23.99,23.62
2023-04-03T12:07:58,0.816,3.852,30.734,24.23,23.59
2023-04-03T12:08:58,0.94,4.18,18.028,24.3,23.56
2023-04-03T12:09:58,0.72,4.553,42.906,24.34,23.53
2023-04-03T12:10:58,0.443,3.054,54.468,24.41,23.53
2023-04-03T12:11:58,0.647,3.682,18.786,24.47,23.51
2023-04-03T12:12:58,0.473,3.289,28.454,24.54,23.5
2023-04-03T12:13:58,0.599,3.198,37.771,24.61,23.49
2023-04-03T12:14:58,0.834,2.799,7.854,24.67,23.5
2023-04-03T12:15:58,0.559,3.038,19.619,24.71,23.49
2023-04-03T12:16:58,0.53,2.607,62.925,24.76,23.49
2023-04-03T12:17:58,0.242,2.754,8.732,24.82,23.5
2023-04-03T12:18:58,0.643,2.959,38.482,24.84,23.5
2023-04-03T12:25:58,0.571,1.974,14.129,24.51,23.57
2023-04-03T12:26:58,0.338,1.673,27.986,24.24,23.56
2023-04-03T12:27:58,0.433,1.676,20.014,23.97,23.53
2023-04-03T12:28:58,0.508,1.661,18.264,23.78,23.49
2023-04-03T12:29:58,0.359,1.386,4.304,23.61,23.45
2023-04-03T12:30:58,0.415,1.33,20.117,23.73,23.44
2023-04-03T12:31:58,0.456,1.826,5.751,23.87,23.43
2023-04-03T12:32:58,2.103,18.761,525.293,24.39,23.43
2023-04-03T12:33:58,1.286,11.123,426.25,24.77,23.45
2023-04-03T12:34:58,1.427,11.736,338.28,25.19,23.47
2023-04-03T12:35:58,1.306,10.452,277.115,25.26,23.49
2023-04-03T12:36:58,1.687,11.643,274.364,25.75,23.51
2023-04-03T12:37:58,1.823,13.83,437.178,26.12,23.54
2023-04-03T12:38:58,1.391,10.912,409.544,26.55,23.56
2023-04-03T12:39:58,1.565,11.73,283.618,26.81,23.59
2023-04-03T12:40:58,1.217,9.38,369.693,26.55,23.62
2023-04-03T12:41:58,1.357,10.713,247.56,26.78,23.64
2023-04-03T12:42:58,2.494,18.294,425.316,27.49,23.69
2023-04-03T12:43:58,2.906,23.076,638.266,27.85,23.73
2023-04-03T12:44:58,2.986,21.469,711.448,28.16,23.77
2023-04-03T12:45:58,3.488,26.183,633.169,28.33,23.8
2023-04-03T12:46:58,2.963,26.284,554.224,28.54,23.85
2023-04-03T12:47:58,2.603,23.852,455.706,28.82,23.91
2023-04-03T12:48:58,2.544,23.442,485.996,28.99,23.94
2023-04-03T12:49:58,2.376,22.412,590.933,29.32,23.99
2023-04-03T12:50:58,2.592,20.341,426.909,29.43,24.04
2023-04-03T12:56:58,2.396,16.782,305.257,29.91,24.32
2023-04-03T12:57:58,2.076,16.25,223.577,29.91,24.37
2023-04-03T12:58:58,1.783,16.472,323.812,29.95,24.42
2023-04-03T12:59:58,1.797,17.493,322.425,30.04,24.47
2023-04-03T13:00:58,1.842,16.739,234.269,30.06,24.53
2023-04-03T13:21:58,0.836,7.508,84.505,28.42,25.28
2023-04-03T13:22:58,1.072,7.641,125.764,28.3,25.32
2023-04-03T13:23:58,1.153,8.121,91.435,28.34,25.33
2023-04-03T13:24:58,1.105,6.746,46.899,28.16,25.36
2023-04-03T13:25:58,0.947,7.052,32.089,28.21,25.38
2023-04-03T13:26:58,0.787,6.09,99.627,28.16,25.4
2023-04-03T13:27:58,0.953,6.286,65.773,28.13,25.42
2023-04-03T13:28:58,0.729,6.252,40.88,28.18,25.44
2023-04-03T13:29:58,0.686,4.575,28.413,27.94,25.46
2023-04-03T13:30:58,0.775,5.599,43.003,27.88,25.47
2023-04-03T13:37:58,0.608,4.896,44.8,27.5,25.58
2023-04-03T13:38:58,0.544,5.061,40.368,27.59,25.6
2023-04-03T13:39:58,0.842,5.089,45.798,27.55,25.62
2023-04-03T13:40:58,0.553,3.949,35.407,27.59,25.63
2023-04-03T13:41:58,0.959,9.446,267.512,27.21,25.65
2023-04-03T13:42:58,0.87,11.701,286.528,27.41,25.65
2023-04-03T13:43:58,1.168,11.509,291.603,27.49,25.67
2023-04-03T13:44:58,1.662,13.296,241.448,27.79,25.71
2023-04-03T13:45:58,1.43,13.147,276.149,28.1,25.72
2023-04-03T13:46:58,1.242,12.602,306.572,28.17,25.75
2023-04-03T13:47:58,2.046,12.634,228.47,28.2,25.77
2023-04-03T13:48:59,1.29,10.386,179.067,28.24,25.81
2023-04-03T13:49:59,1.13,11.61,208.778,28.31,25.83
2023-04-03T13:50:59,1.381,11.654,283.004,28.6,25.86
2023-04-03T13:51:59,1.221,11.542,243.885,28.78,25.89
2023-04-03T13:52:59,1.551,12.135,266.48,28.71,25.91
2023-04-03T13:53:59,1.174,10.902,152.466,28.73,25.95
2023-04-03T13:54:59,1.344,11.098,107.765,28.96,25.98
2023-04-03T13:55:59,1.143,12.068,178.284,29.3,26.01
2023-04-03T13:56:59,1.196,11.075,179.181,29.41,26.04
2023-04-03T14:14:59,3.045,26.338,421.34,26.38,25.38
2023-04-03T14:15:59,3.133,27.502,611.707,26.39,25.28
2023-04-03T14:16:59,2.148,23.758,417.854,26.14,25.18
2023-04-03T14:17:59,2.783,21.282,324.065,25.81,25.07
2023-04-03T14:18:59,2.328,16.72,246.542,25.62,24.97
2023-04-03T14:19:59,1.859,15.902,173.912,25.39,24.86
2023-04-03T14:20:59,1.496,12.864,171.954,25.1,24.76
2023-04-03T14:21:59,1.383,11.713,94.757,24.87,24.65
2023-04-03T14:22:59,1.304,12.518,97.44,24.64,24.54
2023-04-03T14:34:59,0.613,5.401,46.315,25.4,23.75
2023-04-03T14:35:59,0.896,5.174,33.077,25.46,23.74
2023-04-03T14:36:59,0.612,5.204,37.15,25.45,23.73
2023-04-03T14:37:59,0.873,3.663,22.331,24.92,23.72
2023-04-03T14:38:59,0.659,3.57,25.691,24.66,23.7
2023-04-03T14:39:59,0.889,3.137,37.05,24.4,23.65
2023-04-03T14:40:59,0.895,3.674,12.411,24.18,23.61
2023-04-03T14:41:59,0.808,3.254,13.353,23.87,23.57
2023-04-03T14:42:59,0.679,3.051,18.986,23.68,23.5
2023-04-03T14:43:59,0.737,2.705,10.842,23.5,23.45
2023-04-03T14:44:59,0.607,2.615,9.313,23.41,23.39
2023-04-03T14:45:59,0.421,3.47,38.709,23.36,23.35
2023-04-03T14:46:59,0.642,4.078,57.075,23.75,23.32
2023-04-03T14:47:59,1.407,4.254,51.73,23.8,23.31
