Date,39,40,41,42,43,44,45,46,47,48,49,50,PM10,Daily Mean PM10 Concentration,DAILY_AQI_VALUE
12/1/2022,68.83962691,519.3968571,0,0,0,0,0,0,0,0,0,0,294.118242,29,27
12/2/2022,116.679152,392.6441456,0,0,0,0,0,0,0,0,0,0,254.6616488,42,39
12/5/2022,158.1874125,191.2271184,0,0,0,0,0,0,0,0,0,0,174.7072655,3,3
12/6/2022,56.35453961,217.8978069,0,0,0,0,0,0,0,0,0,0,137.1261733,10,9
12/7/2022,91.59427033,217.8099432,0,0,0,0,0,0,0,0,0,0,154.7021068,11,10
12/8/2022,125.805847,245.0379701,0,0,0,0,0,0,0,0,0,0,185.4219086,9,8
12/9/2022,80.34111818,291.0330192,0,0,0,0,0,0,0,0,0,0,185.6870687,11,10
12/12/2022,94.28111136,222.4073904,0,0,0,0,0,0,0,0,0,0,158.3442509,5,5
12/13/2022,38.86663091,233.0608672,0,0,0,0,0,0,0,0,0,0,135.9637491,5,5
12/14/2022,20.25882286,200.0741,0,0,0,0,0,0,0,0,0,0,110.1664614,7,6
12/15/2022,9.558523438,73.22631538,0,0,0,0,0,0,0,0,0,0,41.39241941,0,0
12/16/2022,9.445198529,131.429059,0,0,0,0,0,0,0,0,0,0,70.43712876,0,0
12/19/2022,19.5577641,110.2673872,0,0,0,0,0,0,0,0,0,0,64.91257565,15,14
12/20/2022,25.94482308,90.08270256,0,0,0,0,0,0,0,0,0,0,58.01376282,21,19
12/21/2022,10.65347692,105.0910462,0,0,0,0,0,0,0,0,0,0,57.87226156,20,19
12/22/2022,14.61431795,147.1463615,0,0,0,0,0,0,0,0,0,0,80.88033973,25,23
1/9/2023,38.82889231,108.8673974,0,0,0,0,0,0,0,0,0,0,73.84814486,20,19
1/10/2023,18.07595313,97.13225455,0,0,0,0,0,0,0,0,0,0,57.60410384,22,20
1/11/2023,19.98202564,109.2315231,0,0,0,0,0,0,0,0,0,0,64.60677437,18,17
1/12/2023,30.84178718,0,0,0,0,0,0,0,0,0,0,0,30.84178718,20,19
1/13/2023,24.39159231,0,0,0,0,0,0,0,0,0,0,0,24.39159231,23,21
1/17/2023,22.51380256,0,0,0,0,0,0,0,0,0,0,0,22.51380256,6,6
1/18/2023,10.9121359,114.7077385,0,0,0,0,0,0,0,0,0,0,62.8099372,16,15
1/19/2023,18.68583077,118.1561846,0,0,0,0,0,0,0,0,0,0,68.42100769,10,9
1/20/2023,28.95610256,123.7716077,0,0,0,0,0,0,0,0,0,0,76.36385513,12,11
1/23/2023,1.032779487,140.707746,0,0,0,0,0,0,0,0,0,0,70.87026274,8,7
1/24/2023,1.339789744,119.8897026,0,0,0,0,0,0,0,0,0,0,60.61474617,10,9
1/25/2023,20.62219487,121.6660205,0,0,0,0,0,0,0,0,0,0,71.14410769,15,14
1/26/2023,28.77175385,105.0393506,0,0,0,0,0,0,0,0,0,0,66.90555223,8,7
1/27/2023,13.77763377,127.6939105,0,0,0,0,0,0,0,0,0,0,70.73577214,15,14
1/30/2023,15.66954103,85.01826753,0,0,0,0,0,0,0,0,0,0,50.34390428,18,17
1/31/2023,40.7912359,119.4259667,0,0,0,0,0,0,0,0,0,0,80.1086013,17,16
2/1/2023,21.09901823,186.8861299,13.3200625,6.111333333,0,0,0,0,0,0,0,0,56.85413599,18,17
2/2/2023,3.587510256,159.3915051,163.581323,142.0455502,0,74.71687429,284.0693704,201.341966,356.7935439,221.7651579,168.6858088,260.83039,185.1,17,16
2/3/2023,38.18349744,214.8666632,133.1090442,132.118141,30.76704615,127.3143641,221.9050231,218.0560923,335.0980385,227.8106308,122.3213123,247.3887846,170.7448865,29,27
2/6/2023,23.03131026,229.495961,208.5601641,68.74799744,33.38076923,93.15904103,270.1460641,136.9312026,253.5753026,265.7389359,147.153624,203.4366154,161.1130823,34,31
2/7/2023,12.19688205,177.3390693,183.4082795,148.4926769,33.99560677,68.27931282,224.3762128,115.8240333,201.9030974,235.0780077,76.9781245,98.10588462,131.3314323,31,29
2/8/2023,14.11300513,196.7366096,156.4666487,131.2231897,34.00898205,88.76816923,69.76631026,108.3548692,222.3428026,294.3270312,121.08156,152.5454564,132.4778862,21,19
2/9/2023,17.01805641,272.3344831,144.661774,129.7531923,31.31864103,61.5097641,43.04269487,137.5452179,220.0540308,211.2129256,99.96119289,176.6001538,128.7510106,21,19
2/10/2023,15.43815897,133.2748393,110.2146205,107.090441,27.45857692,54.50892098,26.89037143,89.56352821,177.0966744,188.129159,30.05370307,20.34322051,81.67185119,26,24
2/13/2023,21.39019582,268.7425376,99.71699219,32.56283333,28.76502821,61.0522,58.87632308,71.59694872,97.24461795,202.6316471,83.84362078,61.64256667,90.67212595,9,8
2/14/2023,6.667866667,221.9752579,98.07658205,40.76085641,47.02945385,45.8698764,59.54985385,70.05053333,110.1413256,201.1405359,60.50775,44.03686154,83.81722946,17,16
2/15/2023,9.888669231,195.7743273,83.41023077,113.1082487,19.94738718,39.26224308,45.40251282,81.74044327,90.34995641,184.8474802,68.48833333,40.81424103,81.08617278,17,16
2/16/2023,8.634348718,105.1043948,79.46187949,146.8222,28.53558974,24.28738781,43.32627179,45.82636667,64.90283077,113.5184974,50.37644083,30.07737949,61.73946563,9,8
2/17/2023,12.62574674,178.4136027,102.4801927,61.16209231,32.23890769,36.17601987,36.83171615,76.87644615,82.95354103,149.2016564,53.21438974,35.51622308,71.47421121,20,19
2/20/2023,26.75915641,185.0158466,101.2981065,41.75690256,32.96937692,49.10706306,59.63299744,80.90333846,102.9728538,156.3925487,89.47348718,49.95160256,81.35277335,10,9
2/21/2023,8.816923077,237.9182978,62.74615385,45.95055897,42.93557692,48.42197465,59.99786154,75.72668205,120.5441333,151.9048282,76.71588205,44.70372308,81.36521629,6,6
2/22/2023,16.167,261.7738185,33.37730729,51.98178974,42.29939231,51.34620189,61.55572051,79.37811538,151.3132436,154.7523205,80.8255,48.3882987,86.09655904,60,53
2/27/2023,15.29865128,99.64711765,32.37525831,33.73518538,25.70573846,30.84050882,52.45866667,40.73708462,64.86330256,121.3788179,56.99252051,41.53384872,51.29722507,7,6
2/28/2023,17.56848974,150.1528649,39.67125128,34.29719231,24.61769231,27.31685494,6.203789744,48.54884615,97.73015641,158.1250231,59.31991538,36.04516923,58.29977046,13,12
3/1/2023,0.765679487,241.2303889,45.51712051,45.50988718,19.93034103,30.72683333,48.86892428,54.7160641,76.86241333,174.9031256,79.86442564,38.92068462,71.48465733,15,14
3/2/2023,23.98083333,130.5591436,34.13771538,45.98069744,25.04394615,31.21655469,42.9810359,51.44354872,102.2534128,195.0353872,61.65318961,44.86172821,65.76226609,6,6
3/3/2023,9.141312821,186.4140897,48.23034103,57.82264359,30.11523333,25.70223077,36.5119641,47.23082821,131.6315821,166.2493846,44.67408462,41.74312821,68.78890192,8,7
3/6/2023,21.87609487,181.5589872,65.40396923,46.44484872,18.77787692,38.3662,74.52223077,44.52254615,120.0805718,145.8216821,78.2064641,52.55245974,74.01116097,15,14
3/7/2023,9.472794271,178.1360436,58.38452727,73.61033333,25.27335128,40.01236923,63.7114375,62.14462821,135.5532872,168.2309026,73.59129744,55.44901299,78.63083208,18,17
3/8/2023,2.025707692,44.54788542,64.61847273,87.55724359,20.76787436,50.73980423,60.32499231,57.54358462,123.3669282,163.2012634,91.48857692,50.12673913,68.02575605,20,19
3/9/2023,2.926233333,214.2665718,61.37029487,88.19105897,30.33862564,50.0062614,42.20330513,55.47869487,205.3249897,197.3450462,50.49259231,58.86051918,88.06701612,26,24
3/27/2023,30.53497442,127.2767143,114.0924513,74.00541026,83.67655385,45.95696875,159.8795846,75.56071538,98.88867692,132.6755872,134.7292846,239.8466,109.7602935,31,29
3/28/2023,13.82097187,150.9213924,119.2080821,43.09793077,121.7742282,55.08792448,169.8403487,70.5265359,111.1398538,138.8412897,153.4675436,227.1596692,114.5738142,26,24
3/29/2023,11.84548593,200.88641,126.9191949,41.1612359,106.8723538,60.86860513,92.36403846,77.21183846,133.2253179,182.7175333,118.4811718,125.2054821,106.479889,25,23
3/30/2023,24.78100826,356.7840223,153.3192077,69.21839402,134.2863424,84.21897853,79.25047802,107.7525467,227.1700466,314.9303179,151.6817609,86.93962192,149.1943938,14,13
3/31/2023,1.269994872,230.1752753,116.0711692,59.29685677,102.5808205,56.383625,42.54115385,94.92742308,167.0621744,185.6490205,63.37982857,51.26958182,97.55057699,19,18
4/3/2023,18.28221026,165.7019594,87.693,47.95999221,77.23362564,63.51106231,54.24804872,84.99194103,108.8855564,129.0711718,57.79544615,47.78952821,78.59696184,45,42
4/4/2023,6.017528205,128.3669156,97.83983077,36.39671026,29.15471538,44.43655172,55.70094359,60.57151026,84.45048974,125.3466359,67.74032468,47.72005897,65.31185126,113,80
4/5/2023,8.944302564,135.3678359,60.27065641,88.7993,75.49865128,44.7448262,36.23114103,47.18145128,85.51940256,102.1360128,39.20898974,28.00492308,62.65895774,26,24
4/6/2023,18.44170573,141.1054939,67.16961282,71.45109744,93.01047949,35.52611268,35.53820256,56.32718718,103.2187385,161.0878949,49.39495128,35.39917692,72.30588778,40,37
4/7/2023,16.11286667,241.4786714,86.58883846,70.8015,89.94698974,44.35235809,37.93142051,74.42007436,133.4839026,161.0450769,44.73885641,46.18127436,87.25681913,46,43
4/10/2023,10.73802564,202.1255233,110.2184051,32.37004103,86.08628462,31.47424294,51.01993077,70.12453077,102.7718026,111.2988359,73.24911026,51.21603077,77.72439698,36,33
4/11/2023,16.20742051,194.5980765,120.7664205,44.45354615,92.05389744,43.12189,62.93655641,95.93874103,129.7800641,134.1043555,79.48097179,51.72361538,88.76379628,38,35
4/12/2023,18.84105641,178.85898,108.9908974,45.36406667,78.71267692,46.36916975,62.04169487,82.32576,137.2672949,140.9339156,79.94919481,60.22038462,86.65625766,35,32
4/13/2023,27.82404103,166.2526811,165.0778436,54.2933,78.80311795,53.99413661,68.56307692,95.80258718,116.9072385,130.7252772,97.26381026,64.81487692,93.36016561,35,32
4/14/2023,34.38295641,233.5818104,202.7678718,49.47810256,105.7695872,59.36018803,51.87665796,146.5562923,138.1692128,279.5431228,69.5128,71.37089487,120.1974581,25,23
4/17/2023,20.16666667,156.2610214,148.290141,61.80116667,71.76778205,50.21996505,56.20617949,120.299151,123.1554462,110.2651923,56.21010256,44.09160769,84.89453517,32,30
4/18/2023,15.86625128,156.6517025,135.1594205,43.38402821,74.45487949,50.67698205,46.1782359,80.76318462,108.6338897,163.1558,55.76609231,47.77768205,81.53901238,27,25
4/19/2023,13.01622564,153.1821043,129.7572077,57.21408462,66.96508462,55.6108587,66.9598,68.82383846,111.3796308,173.8801564,84.90558462,63.25624615,87.07923517,51,47
4/20/2023,21.78812051,212.5715797,136.607341,62.42268798,77.58685128,47.68903061,56.65014359,84.33274872,143.7276308,146.4768154,70.97620256,60.72444615,93.46279986,53,49
4/21/2023,30.86644359,221.5518824,117.4084519,36.9156087,68.7822641,45.63772381,37.52163333,98.76725195,159.7551949,176.1073564,56.71487692,47.05836667,91.42392122,42,39
4/24/2023,21.55349744,116.731329,109.0282462,37.01582308,52.37682821,34.91273099,60.47778974,119.6755462,142.7361974,117.7916872,63.43763846,56.67018205,77.70062466,33,31
4/25/2023,2.617438462,154.6673314,99.34444359,111.6034308,58.14106667,41.18557143,52.13458718,90.62126923,134.813059,156.569859,56.91354615,61.83880256,85.03753379,27,25
4/26/2023,10.99762821,150.346658,135.7692308,114.4238205,47.60804103,48.61640491,56.62770769,118.2698462,165.4799692,133.1644231,59.60152051,73.86794545,92.8977663,39,36
4/27/2023,3.251097436,194.8260912,102.1352564,71.42805385,72.65740256,55.35604688,42.81721282,94.90550402,156.4875714,120.2832103,61.80887692,55.48087436,85.95309985,51,47
4/28/2023,22.70544103,178.948442,105.6381487,66.56391795,75.07425385,43.34538021,55.66041795,104.503574,142.1361513,175.2004308,68.08365897,55.57247949,91.11935802,49,45
5/1/2023,37.46524615,202.0593233,186.0188179,41.60035641,54.67269744,47.85116406,68.55978125,119.5595615,174.2021333,104.5110154,96.41893846,79.18799487,101.0089192,48,44
5/2/2023,30.02822656,212.6269761,193.7146692,44.33455897,76.80133846,31.95883073,67.01643333,113.8958513,139.6394436,129.0847513,80.2191013,73.54618205,99.40553024,26,24
5/3/2023,34.93797656,258.9487652,202.3966846,82.79121795,87.86945385,64.63930667,93.23835641,112.3378744,231.0861436,217.3936821,108.6075385,108.6676231,133.5762186,26,24
5/4/2023,20.33562169,226.2640507,149.3698487,53.68653846,104.9001462,57.6518641,72.01094103,94.04639231,193.2669897,130.8073385,93.34646923,79.64375128,106.277496,27,25
5/5/2023,26.12067179,288.0212651,164.942774,56.29465897,105.7575231,53.46557453,64.09693846,248.2766179,290.2757795,198.8574468,53.46616154,69.66549487,134.9367422,20,19
5/8/2023,32.57642821,147.1719022,98.46458205,32.31833846,65.98190769,60.38955128,59.53784615,113.8982692,134.8443282,87.55411948,63.01642821,59.9992641,79.64608044,43,40
5/9/2023,32.88874615,157.3521951,125.4203436,32.4123107,63.92072821,56.99282275,57.58116667,124.7221256,133.7975897,113.3770231,57.73710513,61.45515128,84.80477567,31,29
5/10/2023,29.26412051,157.217216,47.32745641,52.03565385,65.17607179,54.34539678,60.48265641,79.51055385,161.2727763,99.84907532,80.08195897,27.45786923,76.16840045,38,35
5/11/2023,19.17871429,173.8247844,2.344297436,79.92279744,72.52986154,57.25085417,50.04871282,117.2584103,138.699659,100.4380641,54.00055641,5.545241026,72.58682941,49,45
5/12/2023,19.9336359,197.1830082,3.661594872,72.97151282,56.52148718,52.67004103,52.15293846,107.0941667,170.3739231,120.3158333,80.50018974,6.183661538,78.29683274,60,53
5/15/2023,29.54939744,142.4514706,129.9286897,31.69904359,81.60321538,44.35553125,79.04221026,147.2532897,159.6746949,101.5580128,97.99975641,97.11915128,95.18620528,19,18
5/16/2023,17.13806154,148.3375667,98.08022821,24.88437949,83.47209744,49.43161625,70.00306667,93.19397692,134.0783154,101.994626,87.76410769,83.5509,82.66074519,21,19
5/17/2023,24.70265775,181.4472706,95.50276154,78.52426154,71.21858462,54.28014815,56.72268974,77.89747692,142.8598846,158.2730128,106.4025,91.08148205,94.90939419,22,20
5/18/2023,19.09042564,163.1051821,163.4071462,61.96824872,90.10400513,51.50054026,59.92038182,86.92935641,140.8669282,118.9544831,141.915639,94.49877179,99.35509236,26,24
5/19/2023,20.94891795,195.8618909,129.6265282,42.43663846,99.76652051,49.25003804,47.51548974,121.4875462,162.1544179,140.2900462,104.9349143,77.1041641,99.28142604,13,12
5/22/2023,46.48342308,154.6046167,133.2276538,24.79686923,49.34398974,45.18205615,78.90284872,106.7291205,112.9424487,174.2303846,120.1450026,107.4468103,96.16960201,18,17
5/23/2023,3.502251282,133.5187553,85.19597692,20.7655641,138.3184205,38.81568783,52.58187436,72.89539487,83.57397949,210.6399538,45.64661818,65.4335641,79.24067006,20,19
5/24/2023,3.638720513,213.7644179,64.44461795,39.27624872,64.4847359,30.30142287,67.76488462,75.82547436,146.0345436,96.83465385,100.3803103,24.39603077,77.26217178,27,25
